Transaction Date,Transaction Type,Fee Name,Transaction Number,Details,Seller SKU,Lazada SKU,Amount,VAT in Amount,WHT Amount,WHT included in Amount,Statement,Paid Status,Order No.,Order Item No.,Order Item Status,Shipping Provider,Shipping Speed,Shipment Type,Reference,Comment,PaymentRefId
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-R7EDYOA-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-25.99,2.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124712023805868,124712024505868,Delivered,PK-DEX,standard,Dropshipping,124712024505868,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-5CDXBMV-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,-0.84,0.10,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124712023805868,124712024505868,Delivered,PK-DEX,standard,Dropshipping,124712024505868,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-HZ0HQVZ-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2 hangers,174562749_PK-1347084923,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124712023805868,124712024505868,Delivered,PK-DEX,standard,Dropshipping,124712024505868,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-UU88XNQ-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-10.06,1.16,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125140562860975,125140563160975,Delivered,PK-DEX,standard,Dropshipping,125140563160975,,
01 Feb 2021,Orders-Other Credit,Shipping Fee (Paid By Customer),PK2NBNJY3NX-R1794FV-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,0.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125140562860975,125140563160975,Delivered,PK-DEX,standard,Dropshipping,125140563160975,,
01 Feb 2021,Orders-Item Charges,Item Price Credit,PK2NBNJY3NX-GP8RPBX-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,69.00,0.00,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125140562860975,125140563160975,Delivered,PK-DEX,standard,Dropshipping,125140563160975,,
01 Feb 2021,Orders-Daraz Fees,Automatic Shipping Fee,PK2NBNJY3NX-59UANMG-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-77.97,8.97,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125140562860975,125140563160975,Delivered,PK-DEX,standard,Dropshipping,125140563160975,,
01 Feb 2021,Orders-Daraz Fees,Payment Fee,PK2NBNJY3NX-YAEUME4-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-0.97,0.11,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125140562860975,125140563160975,Delivered,PK-DEX,standard,Dropshipping,125140563160975,,
01 Feb 2021,Orders-Daraz Fees,Auto. Shipping fee subsidy (by Daraz),PK2NBNJY3NX-YF5SR4P-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,77.97,8.97,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,125140562860975,125140563160975,Delivered,PK-DEX,standard,Dropshipping,125140563160975,,
01 Feb 2021,Orders-Daraz Fees,Commission,PK2NBNJY3NX-5S5VUG1-210201,M2S2 Space Saving Magic Plastic Hangers for Clothes Nine Hole Hangers Cabinet Home Storage Stand,m2s2hangers,174562749_PK-1381180218,-8.60,0.99,0.00,No,01 Feb 2021 - 14 Feb 2021,Not paid,124677851090077,124677851390077,Delivered,PK-DEX,standard,Dropshipping,124677851390077,,
